label,location,name,address,provider,dc,ac,tesla,total,lat,lng
三號電站 新蒲崗,新蒲崗,三號電站新蒲崗善美工業大廈充電站,九龍新蒲崗八達街,三號電站,10,0,0,10,22.3376,114.19938
三號電站 元朗,元朗,三號電站元朗公庵路充電站,新界元朗公庵路,三號電站,28,0,0,28,22.44664,114.02419
三號電站 八鄉,元朗,三號電站八鄉橫台山梁屋村充電站,新界元朗八鄉,三號電站,8,2,0,10,22.44505,114.02265
三號電站 柴灣角,荃灣,榮興工業大廈停車場 Wing Hing Industrial Building,新界荃灣柴灣角街83-93號,三號電站,8,0,0,8,22.36804,114.11433
三號電站 葵涌馮敬,葵涌,三號電站葵涌馮敬工業大廈充電站,新界葵涌藍田街,三號電站,6,0,0,6,22.36084,114.12737
三號電站 錦上路,元朗,三號電站錦上園藝充電站,新界元朗錦上路,三號電站,6,0,0,6,22.44372,114.02414
大昌行 九龍灣,九龍灣,九龍灣大昌行充電站,九龍九龍灣啓祥道20號,大昌行,30,0,0,30,22.31996,114.21394
The Point 銅鑼灣世貿,銅鑼灣,世界貿易中心停車場 World Trade Center WTC wwwtc,香港銅鑼灣告士打道280號,The Point,0,3,0,3,22.2838,114.18448
The Point YOHO Plus,元朗,YOHO PLUS 加點停車場 (交通廣場 Transport Plaza),新界元朗鳳翔路2-6號,The Point,0,0,0,0,22.44687,114.01946
The Point Mikiki,新蒲崗,Mikiki 停車場 (譽·港灣 The Latitude),九龍新蒲崗太子道東638號,The Point,4,3,4,11,22.33898,114.19607
The Point V Walk,深水埗,V Walk 停車場 (匯璽 Cullinan West),九龍深水埗深旺道28號,The Point,4,0,3,7,22.32673,114.16131
The Point APM,觀塘,APM 停車場 (創紀之城5期),九龍觀塘觀塘道418號,The Point,4,7,0,11,22.31068,114.2229
Well Done Charge 鴻圖道,觀塘,Well Done Charge 觀塘鴻圖道6號快充站 (樂居工業大廈),九龍觀塘鴻圖道6號,Well Done Charge,10,0,0,10,22.30919,114.2252
Well Done Charge 偉業街,觀塘,Well Done Charge 觀塘偉業街149號快充站 (彩虹工業大廈),九龍觀塘偉業街149號,Well Done Charge,8,0,0,8,22.30942,114.22595
A1W 新蒲崗,新蒲崗,A1W Charge 新蒲崗佳力工業大廈精英充電站,九龍新蒲崗大有街33號,A1W,2,0,0,2,22.33403,114.19938
A1W 元朗,元朗,A1W Charge 元朗塘坊村230號精英充電站,元朗屏山塘坊村,A1W,3,0,0,3,22.44381,114.02407
XECO 青衣,青衣,XECO 青衣海暉貨櫃場快充站,新界青衣青高路,XECO,19,0,0,19,22.35554,114.1095
XECO 錦上路115號,元朗,XECO 錦上路115號快充站,新界元朗錦田錦上路,XECO,2,0,0,2,22.44436,114.02179
XECO 石湖塘洗車屋,元朗,XECO 石湖塘洗車屋快充站,新界元朗錦田錦上路,XECO,0,1,0,1,22.44568,114.02379
XECO 洪水橋田心村,屯門,XECO 洪水橋田心村快充站,新界洪水橋,XECO,12,0,0,12,22.39687,113.97569
Crazy Charge 灰窰角,荃灣,Crazy Charge 荃灣灰窰角街18號充電站 (富源工業大廈),荃灣灰窰角街18號,Crazy Charge,0,0,0,0,22.36875,114.11336
Shell Recharge 機場,東涌,Shell蜆殼赤鱲角機場(貨運中心)油電站,新界赤鱲角觀景路及赤鱲角南路交界,Shell,2,2,0,4,22.2876,113.94048
Tesla 大角咀,大角咀,One Bedford Place 停車場 (大角咀必發道),九龍大角咀必發道100號,Tesla,0,12,3,15,22.31917,114.16142
三號電站 元朗東成里,元朗,三號電站元朗東成里新港快充站,新界元朗東成里路,三號電站,8,0,0,8,22.44734,114.02091
