source,post_url,time,user_id,title,text,likesCount,commentCount,shareCount,media_url/0,media_url/1,media_url/2,media_url/3,media_url/4,shared_post_url,shared_post_text,shared_post_media_url,is_ev,conf_score,summary,theme,charge_type,stn_status,operator,landlord,location,sentiment,promo_val,promo_trig,user_impact,comp_insight
香港電動車充電資訊交流,https://www.facebook.com/groups/366950274676457/posts/1756523009052503/,5/29/2026,機電工程投標報價,請電工學徒，中工，大工,請電工學徒，中工，大工Wts: 54304572,0,0,0,,,,,,,,,False,0.98,,其他無關,,,,,,,,,,
香港電動車充電資訊交流,https://www.facebook.com/groups/366950274676457/posts/1755594639145340/,5/28/2026,Wan Lina,之前嚟群組見到又話$10度電，原來係$1.68😹,之前嚟群組見到又話$10度電，原來係$1.68,21,5,0,https://scontent-hkg1-2.xx.fbcdn.net/v/t39.30808-6/707679133_924106964003208_7049362862022440295_n.jpg?stp=dst-jpg_p526x296_tt6&_nc_cat=102&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=JhOZR08j1h0Q7kNvwEzs3PW&_nc_oc=Adrxbsh5lDXU_QwginFkDF55d7lMk_4QfwNGjIxYyRLLP83EyMfp9pCvPGQ7KkVxDBE&_nc_zt=23&_nc_ht=scontent-hkg1-2.xx&_nc_gid=1Q7fBPvNED0EbhKyhC8obw&_nc_ss=7b2a8&oh=00_Af5rPKUfWri5iFeicf_0BBV0R4lZuzFX0Sh2vRQ1Dw-JKw&oe=6A20C56A,,,,,,【中石化火炭超充站開業Promo】震撼價只需$1.68/度電，Max.500kW@sinopechk drivers，充電期間免停車費。正式開業率先下載APP即送電子優惠券。記得註冊做PIT會員先人到場。充電站電費顯示截圖。,,True,0.95,車主分享中石化火炭超充站即將正式開業，震撼價只需$1.68/度電，Max.500kW，充電期間免停車費，下載APP即送電子優惠券。,站點情報,快充/超充,新啟用,Sinopec,Unknown,火炭,Positive,$1.68/度電，免停車費，APP送電子優惠券,新站開業優惠，下載APP即送,車主因見到傳言$10一度電而誤會，發現實際只需$1.68後態度正面，有助吸引更多車主前往火炭超充站充電。,中石化Sinopec以低價$1.68入場搶佔火炭充電市場，對比同區其他營辦商形成價格壓力，策略性以開業優惠快速建立客群。
香港電動車充電資訊交流,https://www.facebook.com/groups/366950274676457/posts/1753614302676707/,5/26/2026,RIYS charging adapter,,兼容720KW超充,0,0,0,,,,,,https://www.facebook.com/reel/1680221293111434/,實測港車Tesla體驗720KW超充，400A搭載最新程序兼容小鵬S5超充和蔚來超充！800V車型更有驚喜！！！ #港車北上充電,,True,0.9,RIYS充電轉接器推廣：兼容720KW超充、400A、支援小鵬S5及蔚來超充，800V車型可用。港車北上充電。,其他無關,快充/超充,未提及,Unknown,Unknown,Unknown,Neutral,None,None,推廣港車北上充電轉接器產品，吸引有意北上充電的 Tesla 車主注意。,RIYS以兼容720KW超充為賣點切入市場，反映北上充電需求的轉接器產品市場正在擴大。
香港電動車資訊及充電交流谷,https://www.facebook.com/groups/hkevcharging/posts/3844838949144464/,5/24/2026,Kit Au,,求師傅解碼，tesla 充電器能充豐田車,4,4,0,,,,,,,,,True,0.92,車主發問Tesla充電器能否為豐田電動車充電，尋求技術解答。,充電疑問,未提及,未提及,Tesla,Unknown,Unknown,Neutral,None,None,車主對不同品牌充電器兼容性存疑，反映市場對跨品牌充電標準資訊需求。,Tesla充電器兼容性問題反映封閉生態系統對用戶造成困擾，開放充電標準（如CCS）可減少此類問題。
香港電動車充電資訊交流,https://www.facebook.com/groups/366950274676457/posts/1751232382914899/,5/23/2026,Brian Lai,,"有冇人識得車主, 有勞通傳一下, 其他車入不去充電",237,114,0,https://scontent-hkg1-1.xx.fbcdn.net/v/t39.30808-6/703679409_10100347625820227_7581021044054589142_n.jpg?stp=dst-jpg_p526x296_tt6&_nc_cat=105&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=4MiwihAffcEQ7kNvwG0e7V6&_nc_oc=AdpbwEXdgFqwyAke4I82i-UWP3TonNUV_pncFGhunKqzO_O8772xXdrVGNnFaF03txE&_nc_zt=23&_nc_ht=scontent-hkg1-1.xx&_nc_gid=Wo0arX1Bra-aMrA_o6Bq-Q&_nc_ss=7b2a8&oh=00_Af79T0nn0mxDXiz1VwQ7BdgUIY4-LswLS3Q2cb0LnXg-SA&oe=6A209BC0,,停車場充電位被非電動車佔用，車輛停泊在充電樁前。涉事車輛為Tesla（車牌已隱藏）。,,,,停車場充電位被非電動車佔用，車輛停泊在充電樁前,,True,0.98,車主在停車場發現一輛Tesla停在充電樁前但沒有充電，導致其他電動車無法使用充電位，發文尋求車主移車。,車位佔用,未提及,未提及,Unknown,Unknown,Unknown,Negative,None,None,充電車位被非充電車輛佔用，直接影響其他電動車主無法充電，發文者需在社交群組公開尋車主，反映停車場管理缺乏監管。,停車場充電位被佔用問題持續困擾電動車車主，反映營辦商及場主需加強巡查或引入充電位防濫用機制。
香港電動車充電資訊交流,https://www.facebook.com/groups/366950274676457/posts/1750629909641813/,5/22/2026,翡翠家,承接 派傳單 貼海報 貼街招 掛橫額 掛banner,承接 派傳單 貼海報 貼街招 掛橫額 掛banner工商廈派傳單 印傳單 印街招想宣傳又想慳荷包 平價宣傳增加生意額 增加公司知名度全港 貼海報 海報宣傳 印傳單 印海報 印街招派傳單 街上派傳單 派發傳單 工商廈派傳單 商廈派傳單 工廈派傳單 屋苑入傳單 屋苑派傳單 屋苑入信箱 私樓派傳單 私樓入傳單 私樓入信箱街頭派傳單 工商廈入傳單 工廈入傳單 商廈入傳單  派贈品 派sample 放易拉架 貼海報 貼街招 公屋派傳單 派通函 入通函 掛banner 放banner,0,0,0,https://scontent-hkg1-2.xx.fbcdn.net/v/t15.5256-10/701495771_1307780914128231_6332668603046292892_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=117846&_nc_ohc=LHUjZ53xvNEQ7kNvwHZzTMH&_nc_oc=AdrpaC_HGUBqMMyDs7u0YhdlETRPtH-jSDXLCryu4CS8clZI5jH9o_WYwM8GD1Tk9zI&_nc_zt=23&_nc_ht=scontent-hkg1-2.xx&_nc_gid=W_Ohd4nfhhJqs7OFvZUsJg&_nc_ss=7b2a8&oh=00_Af6fdG159m6JRqnXA_8VRBh1sF40Fm97JDE37w6Y2OVj9g&oe=6A20BD19,,,,,,派傳單服務廣告視頻縮略圖。我們在全港各區都有張貼A1至A3海報，每區300張起。宣传易派傳單公司。,,False,0.99,,其他無關,,,,,,,,,,
香港電動車資訊及充電交流谷,https://www.facebook.com/groups/hkevcharging/permalink/3844231462538546/,5/21/2026,pfbid02NH5bugacKnyR3P2EF2Bi1tm6hNcB5fpt377s9rbMkECpdEYnh7TvKX1R7mcoxh1pl, ,"新買TESLA(6月取車),佢跟車送既差電器,可否比其他車用,因為我已經有另一電車",4,9,0, , , , , , , , ,TRUE,0.2,車主查詢新購Tesla（6月取車）隨車附送的家用充電器能否用於其他品牌的電動車，因其已擁有另一部電車。屬個人設備相容性技術諮詢，不涉及公共充電基礎設施或營辦商資訊。,充電疑問,未提及,未提及,Unknown,Unknown,Unknown,Neutral,None,None,None,None
香港電動車充電資訊交流,https://www.facebook.com/groups/366950274676457/permalink/1749196863118451/,5/20/2026,pfbid0Qji7KbASD29mpsi3YjV8SpKyV1izhnADjMhACytakNQhgDwA2cWT6wCADt9oXamCl,尖東又有電動車月租優惠！！$2900,尖東又有電動車月租優惠！！$2900尖東康宏廣場 Tel: 5265 3989, ,0,0,https://scontent-den2-1.xx.fbcdn.net/v/t39.30808-6/704427215_122205575720581123_2220802646781455759_n.jpg?stp=dst-jpg_s590x590_tt6&_nc_cat=110&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=MJevdDaaNgQQ7kNvwF2hOlv&_nc_oc=Ado7fETUIcOYLVb8yWKGEzDrmlfINvUbHiIzz3_T55R043nrfX6pKSTisAKQkaZmEok&_nc_zt=23&_nc_ht=scontent-den2-1.xx&_nc_gid=QnQ2Elf3FYOiSZrcvoOqYA&_nc_ss=70289&oh=00_Af4uBH0HlChx7DqkKPUPgJATh1xwwL9M1NKjJK13QSqL7Q&oe=6A14F0CA,https://scontent-den2-1.xx.fbcdn.net/v/t39.30808-6/704527647_122205575732581123_5452135703031344007_n.jpg?stp=dst-jpg_s590x590_tt6&_nc_cat=101&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=9F12-dP3atgQ7kNvwHTjX10&_nc_oc=AdrIIJlQSdPlfQZktW97ivKorNy1iQssGUyANOl_aSKu3l2qyGGpmnKanqK5mRVshRM&_nc_zt=23&_nc_ht=scontent-den2-1.xx&_nc_gid=QnQ2Elf3FYOiSZrcvoOqYA&_nc_ss=70289&oh=00_Af7Z1G5paxQNMAdDqlf1zfTCNN-7PpX4Owjq6Pwtjttlhw&oe=6A14F39E, , , , , , ,TRUE,0.85,"尖東康宏廣場推出電動車月租泊車優惠，月費$2,900，並提供聯絡電話5265 3989供查詢。",價格動態,未提及,營運中,Unknown,Unknown,尖東康宏廣場,Neutral,"月租$2,900",None,"月租$2,900為尖東商業區提供一個具競爭力的固定泊車成本選項，對每日需要泊車及充電的車主具吸引力，惟需留意月費是否已包含充電費用或需另計。","尖東商業區月租市場競爭中，$2,900的定價可作為同區充電泊位月費的市場參考基準，其他營辦商需評估其定價策略的競爭力。未提及營辦商及充電類型，資訊尚欠完整。"
香港電動車資訊及充電交流谷,https://www.facebook.com/groups/hkevcharging/permalink/3838738269754532/,5/17/2026,pfbid0Rxazm7zAifjumUTbjME4sU3o1PXbMZC9vDMDhYMvmFBgTciH57uLFigJebrPwV71l,"想問下係街超充,見到之槍180kw,但用時只食40kw ,係我車有問題定支槍唔得?定2樣都有影響? byd atto2 新手求教","想問下係街超充,見到之槍180kw,但用時只食40kw ,係我車有問題定支槍唔得?定2樣都有影響? byd atto2 新手求教",7,36,0, , , , , , , , ,TRUE,0.95,比亞迪Atto 2車主在公共超充站發現標稱180kW的充電槍實際僅輸出約40kW，質疑是車輛限制、充電槍故障還是兩者共同影響所致。,服務問題,快充/超充,暫停服務/損壞,Unknown,Unknown,Unknown,Negative,None,None,標稱180kW實際僅得40kW的巨大落差會嚴重打擊車主對公共快充網絡的信心，尤其打擊新手車主使用意願，加劇里程焦慮。,反映充電營辦商存在設備標稱規格與實際性能嚴重不符的問題，若頻繁出現此類情況，將削弱整個快充市場的競爭力，車主或傾向選擇口碑更穩定、維護更及時的營辦商。
香港電動車資訊及充電交流谷,https://www.facebook.com/groups/hkevcharging/permalink/3840167806278245/,5/17/2026,pfbid02ppwc24hkVfdF3So1SgMf4nf33Wd4xBpCJEAGFociu6mNieennpbFnzuAgjj5uxcrl, ,請教下淘寶果D充電椿有邊隻介紹？, ,0,0, , , , , , , , ,TRUE,0.85,車主在社群請教淘寶電動車充電樁的產品型號推薦，尋求其他車主對不同品牌、規格及安裝經驗的意見分享。,充電疑問,中充/慢充,未提及,Unknown,Unknown,Unknown,Neutral,None,None,None,None
